Geographic_ area,Indicator,Sex,Time period,Observation Value,Unit of measure of deaths,,,Lower Bound,Upper Bound
 Nigeria,CME_MRM0: Neonatal mortality rate, Total,2008,38.72629357,"D_PER_1000_B: Deaths per 1,000 live births",,,34.02691714,43.63951502
 Nigeria,CME_MRM1T11: Mortality rate age 1-11 months, Total,2008,50.74804408,"D_PER_1000_1M: Deaths per 1,000 children aged 1 month",,,33.61581288,43.31452862
 Nigeria,CME_MRM1T59: Mortality rate 1-59 months, Total,2008,106.7483443,"D_PER_1000_1M: Deaths per 1,000 children aged 1 month",,,33.18731662,43.07475558
 Nigeria,CME_MRY0: Infant mortality rate, Total,2008,87.509054,"D_PER_1000_B: Deaths per 1,000 live births",,,32.79523348,43.10910851
 Nigeria,CME_MRY0T4: Under-five mortality rate, Total,2008,141.3406701,"D_PER_1000_B: Deaths per 1,000 live births",,,32.42440631,43.24458137
 Nigeria,CME_MRY10T14: Mortality rate age 10-14, Total,2008,8.653541866,"D_PER_1000_10: Deaths per 1,000 children aged 10",,,31.99304887,43.62308512
 Nigeria,CME_MRY10T19: Mortality rate age 10-19, Total,2008,18.91466833,"D_PER_1000_10: Deaths per 1,000 children aged 10",,,31.50772921,44.03009941
 Nigeria,CME_MRY15T19: Mortality rate age 15-19, Total,2008,10.35069665,"D_PER_1000_15: Deaths per 1,000 youths aged 15",,,30.97768974,44.66174603
 Nigeria,CME_MRY15T24: Mortality rate age 15-24, Total,2008,24.26303048,"D_PER_1000_15: Deaths per 1,000 youths aged 15",,,30.21888213,45.40560852
 Nigeria,CME_MRY1T4: Child mortality rate (aged 1-4 years), Total,2008,58.9941373,"D_PER_1000_1: Deaths per 1,000 children aged 1",,,29.44318048,46.14054277
 Nigeria,CME_MRY20T24: Mortality rate age 20-24, Total,2008,14.05784229,"D_PER_1000_20: Deaths per 1,000 children aged 20",,,46.05539494,55.71151563
 Nigeria,CME_MRY5T14: Mortality rate (children aged 5 to 14 years), Total,2008,25.77947539,"D_PER_1000_5: Deaths per 1,000 children aged 5",,,44.50539044,54.32175573
 Nigeria,CME_MRY5T24: Mortality rate age 5-24, Total,2008,49.41701767,"D_PER_1000_5: Deaths per 1,000 children aged 5",,,43.15550749,53.14500729
 Nigeria,CME_MRY5T9: Mortality rate age 5-9, Total,2008,17.27542715,"D_PER_1000_5: Deaths per 1,000 children aged 5",,,41.84646375,52.17248346
 Nigeria,CME_PND: Neonatal deaths as a percentage of under-five deaths, Total,2008,0.286977316,PCNT: %,,,40.86215384,51.55120696
 Nigeria,CME_SB: Stillbirths, Total,2008,166875,STILLBIRTHS: Number of stillbirths,,,39.74811246,51.13615347
 Nigeria,CME_SBR: Stillbirth rate, Total,2008,25.00733478,"SB_PER_1000_B: Stillbirths per 1,000 total births",,,38.65718308,50.91307559
 Nigeria,CME_TMM0: Neonatal deaths, Total,2008,251655,D: Number of deaths,,,37.52575406,50.93129388
 Nigeria,CME_TMM1T11: Deaths age 1-11 months, Total,2008,302161,D: Number of deaths,,,36.22401281,50.89603513
 Nigeria,CME_TMM1T59: Deaths age 1-59 months, Total,2008,625261,D: Number of deaths,,,34.76796697,50.68033134
 Nigeria,CME_TMY0: Infant deaths, Total,2008,553816,D: Number of deaths,,,97.73390846,116.3251524
 Nigeria,CME_TMY0T4: Under-five deaths, Total,2008,876916,D: Number of deaths,,,94.52500459,113.54612
 Nigeria,CME_TMY10T14: Deaths aged 10 to 14, Total,2008,31480,D: Number of deaths,,,91.54617658,111.476539
 Nigeria,CME_TMY10T19: Deaths aged 10 to 19, Total,2008,63483,D: Number of deaths,,,88.7985588,109.9537352
 Nigeria,CME_TMY15T19: Deaths aged 15 to 19, Total,2008,32003,D: Number of deaths,,,86.25660069,109.1009664
 Nigeria,CME_TMY15T24: Deaths aged 15 to 24, Total,2008,70008,D: Number of deaths,,,83.68045299,108.7412711
 Nigeria,CME_TMY1T4: Child deaths (aged 1-4 years), Total,2008,323100,D: Number of deaths,,,81.22868368,108.9518526
 Nigeria,CME_TMY20T24: Deaths aged 20 to 24, Total,2008,38005,D: Number of deaths,,,78.63364137,109.6014057
 Nigeria,CME_TMY5T14: Deaths (children aged 5-14), Total,2008,107762,D: Number of deaths,,,75.64864545,110.4608572
 Nigeria,CME_TMY5T24: Deaths aged 5 to 24, Total,2008,177770,D: Number of deaths,,,72.39000727,110.6870213
 Nigeria,CME_TMY5T9: Deaths aged 5 to 9, Total,2008,76282,D: Number of deaths,,,73.61702889,85.14770338
 Nigeria,IM_BCG: Percentage of live births who received bacille Calmette-Guerin (vaccine against tuberculosis), Total,2008,65,PCNT: %,,,71.88667772,83.8414682
 Nigeria,IM_DTP1: Percentage of surviving infants who received the first dose of DTP-containing vaccine, Total,2008,63,PCNT: %,,,70.22223723,82.70094651
 Nigeria,IM_DTP3: Percentage of surviving infants who received the third dose of DTP-containing vaccine, Total,2008,53,PCNT: %,,,68.75094234,82.09214319
 Nigeria,IM_HEPB3: Percentage of surviving infants who received the third dose of hep B-containing vaccine, Total,2008,41,PCNT: %,,,67.37007319,81.8462372
 Nigeria,IM_HEPBB: Percentage of live births who received hepatitis-B-containing vaccine within 24 hours of birth, Total,2008,11,PCNT: %,,,65.88041528,81.95231764
 Nigeria,IM_MCV1: Percentage of surviving infants who received the first dose of measles-containing vaccine, Total,2008,53,PCNT: %,,,64.4599813,82.42589968
 Nigeria,IM_POL3: Percentage of surviving infants who received the third dose of inactivated polio-containing vaccine, Total,2008,60,PCNT: %,,,62.87350706,83.32665911
 Nigeria,IM_YFV: Percentage of surviving infants who received yellow fever- containing vaccine (for countries at risk and where the vaccine is in the national schedule), Total,2008,50,PCNT: %,,,61.00197932,84.25122298
Zimbabwe,CME_MRM0: Neonatal mortality rate, Total,2008,32.96205475,"D_PER_1000_B: Deaths per 1,000 live births",,,58.83205645,84.71422739
Zimbabwe,CME_MRM1T11: Mortality rate age 1-11 months, Total,2008,23.39914841,"D_PER_1000_1M: Deaths per 1,000 children aged 1 month",,,88.79944988,102.2074072
Zimbabwe,CME_MRM1T59: Mortality rate 1-59 months, Total,2008,62.42577964,"D_PER_1000_1M: Deaths per 1,000 children aged 1 month",,,86.43434908,100.5319095
Zimbabwe,CME_MRY0: Infant mortality rate, Total,2008,55.58991915,"D_PER_1000_B: Deaths per 1,000 live births",,,84.34626761,99.2602206
Zimbabwe,CME_MRY0T4: Under-five mortality rate, Total,2008,93.33015242,"D_PER_1000_B: Deaths per 1,000 live births",,,82.42189639,98.57291412
Zimbabwe,CME_MRY10T14: Mortality rate age 10-14, Total,2008,7.411885104,"D_PER_1000_10: Deaths per 1,000 children aged 10",,,80.56977556,98.12217058
Zimbabwe,CME_MRY10T19: Mortality rate age 10-19, Total,2008,17.89662334,"D_PER_1000_10: Deaths per 1,000 children aged 10",,,78.90784368,98.04738582
Zimbabwe,CME_MRY15T19: Mortality rate age 15-19, Total,2008,10.56303021,"D_PER_1000_15: Deaths per 1,000 youths aged 15",,,77.03155554,98.41917482
Zimbabwe,CME_MRY15T24: Mortality rate age 15-24, Total,2008,30.88255066,"D_PER_1000_15: Deaths per 1,000 youths aged 15",,,75.09994212,99.18692013
Zimbabwe,CME_MRY1T4: Child mortality rate (aged 1-4 years), Total,2008,39.96170101,"D_PER_1000_1: Deaths per 1,000 children aged 1",,,72.94312456,99.93338988
Zimbabwe,CME_MRY20T24: Mortality rate age 20-24, Total,2008,20.53644757,"D_PER_1000_20: Deaths per 1,000 children aged 20",,,70.35210477,100.6318934
Zimbabwe,CME_MRY5T14: Mortality rate (children aged 5 to 14 years), Total,2008,15.78048718,"D_PER_1000_5: Deaths per 1,000 children aged 5",,,81.66338409,93.5822718
Zimbabwe,CME_MRY5T24: Mortality rate age 5-24, Total,2008,46.17569615,"D_PER_1000_5: Deaths per 1,000 children aged 5",,,79.59870772,92.01404197
Zimbabwe,CME_MRY5T9: Mortality rate age 5-9, Total,2008,8.431092366,"D_PER_1000_5: Deaths per 1,000 children aged 5",,,77.69136658,90.91411749
Zimbabwe,CME_PND: Neonatal deaths as a percentage of under-five deaths, Total,2008,0.363576029,PCNT: %,,,75.97299299,90.26128269
Zimbabwe,CME_SB: Stillbirths, Total,2008,11545,STILLBIRTHS: Number of stillbirths,,,74.33491393,89.92073757
Zimbabwe,CME_SBR: Stillbirth rate, Total,2008,25.05247041,"SB_PER_1000_B: Stillbirths per 1,000 total births",,,72.76988193,89.93381804
Zimbabwe,CME_TMM0: Neonatal deaths, Total,2008,14791,D: Number of deaths,,,71.15871193,90.49524277
Zimbabwe,CME_TMM1T11: Deaths age 1-11 months, Total,2008,9597,D: Number of deaths,,,69.29156048,91.11074801
Zimbabwe,CME_TMM1T59: Deaths age 1-59 months, Total,2008,25891,D: Number of deaths,,,67.32249738,91.92874201
Zimbabwe,CME_TMY0: Infant deaths, Total,2008,24388,D: Number of deaths,,,64.97720098,92.67049944
Zimbabwe,CME_TMY0T4: Under-five deaths, Total,2008,40682,D: Number of deaths,,,122.7923126,144.057523
Zimbabwe,CME_TMY10T14: Deaths aged 10 to 14, Total,2008,2333,D: Number of deaths,,,119.5013174,141.3475866
Zimbabwe,CME_TMY10T19: Deaths aged 10 to 19, Total,2008,5295,D: Number of deaths,,,116.3684455,139.3299775
Zimbabwe,CME_TMY15T19: Deaths aged 15 to 19, Total,2008,2962,D: Number of deaths,,,113.5166144,138.1638172
Zimbabwe,CME_TMY15T24: Deaths aged 15 to 24, Total,2008,8715,D: Number of deaths,,,110.7277165,137.6377805
