Country,Year,GDP Per Capita,Unemployment Rate,Population,percentage_living_HIV,percentage_death_HIV
Nigeria,2008,2228,3.78,152382506,17.12,15.91
Nigeria,2008,1884,3.76,156595758,17.12,15.91
Nigeria,2008,2280,3.76,160952853,17.12,15.91
Nigeria,2008,2505,3.77,165463745,17.12,15.91
Nigeria,2008,2728,3.75,170075932,17.12,15.91
Nigeria,2008,2977,3.7,174726123,17.12,15.91
Nigeria,2008,3201,3.94,179379016,17.12,15.91
Nigeria,2008,2680,4.22,183995785,17.12,15.91
Nigeria,2008,2145,4.51,188666931,17.12,15.91
Nigeria,2008,1942,4.73,193495907,17.12,15.91
Nigeria,2009,2228,3.78,152382506,18.2,17.43
Nigeria,2009,1884,3.76,156595758,18.2,17.43
Nigeria,2009,2280,3.76,160952853,18.2,17.43
Nigeria,2009,2505,3.77,165463745,18.2,17.43
Nigeria,2009,2728,3.75,170075932,18.2,17.43
Nigeria,2009,2977,3.7,174726123,18.2,17.43
Nigeria,2009,3201,3.94,179379016,18.2,17.43
Nigeria,2009,2680,4.22,183995785,18.2,17.43
Nigeria,2009,2145,4.51,188666931,18.2,17.43
Nigeria,2009,1942,4.73,193495907,18.2,17.43
Nigeria,2010,2228,3.78,152382506,19.16,18.45
Nigeria,2010,1884,3.76,156595758,19.16,18.45
Nigeria,2010,2280,3.76,160952853,19.16,18.45
Nigeria,2010,2505,3.77,165463745,19.16,18.45
Nigeria,2010,2728,3.75,170075932,19.16,18.45
Nigeria,2010,2977,3.7,174726123,19.16,18.45
Nigeria,2010,3201,3.94,179379016,19.16,18.45
Nigeria,2010,2680,4.22,183995785,19.16,18.45
Nigeria,2010,2145,4.51,188666931,19.16,18.45
Nigeria,2010,1942,4.73,193495907,19.16,18.45
Nigeria,2011,2228,3.78,152382506,19.69,19.23
Nigeria,2011,1884,3.76,156595758,19.69,19.23
Nigeria,2011,2280,3.76,160952853,19.69,19.23
Nigeria,2011,2505,3.77,165463745,19.69,19.23
Nigeria,2011,2728,3.75,170075932,19.69,19.23
Nigeria,2011,2977,3.7,174726123,19.69,19.23
Nigeria,2011,3201,3.94,179379016,19.69,19.23
Nigeria,2011,2680,4.22,183995785,19.69,19.23
Nigeria,2011,2145,4.51,188666931,19.69,19.23
Nigeria,2011,1942,4.73,193495907,19.69,19.23
Nigeria,2012,2228,3.78,152382506,20.24,20.54
Nigeria,2012,1884,3.76,156595758,20.24,20.54
Nigeria,2012,2280,3.76,160952853,20.24,20.54
Nigeria,2012,2505,3.77,165463745,20.24,20.54
Nigeria,2012,2728,3.75,170075932,20.24,20.54
Nigeria,2012,2977,3.7,174726123,20.24,20.54
Nigeria,2012,3201,3.94,179379016,20.24,20.54
Nigeria,2012,2680,4.22,183995785,20.24,20.54
Nigeria,2012,2145,4.51,188666931,20.24,20.54
Nigeria,2012,1942,4.73,193495907,20.24,20.54
Nigeria,2013,2228,3.78,152382506,22.11,22.53
Nigeria,2013,1884,3.76,156595758,22.11,22.53
Nigeria,2013,2280,3.76,160952853,22.11,22.53
Nigeria,2013,2505,3.77,165463745,22.11,22.53
Nigeria,2013,2728,3.75,170075932,22.11,22.53
Nigeria,2013,2977,3.7,174726123,22.11,22.53
Nigeria,2013,3201,3.94,179379016,22.11,22.53
Nigeria,2013,2680,4.22,183995785,22.11,22.53
Nigeria,2013,2145,4.51,188666931,22.11,22.53
Nigeria,2013,1942,4.73,193495907,22.11,22.53
Nigeria,2014,2228,3.78,152382506,23.29,23.97
Nigeria,2014,1884,3.76,156595758,23.29,23.97
Nigeria,2014,2280,3.76,160952853,23.29,23.97
Nigeria,2014,2505,3.77,165463745,23.29,23.97
Nigeria,2014,2728,3.75,170075932,23.29,23.97
Nigeria,2014,2977,3.7,174726123,23.29,23.97
Nigeria,2014,3201,3.94,179379016,23.29,23.97
Nigeria,2014,2680,4.22,183995785,23.29,23.97
Nigeria,2014,2145,4.51,188666931,23.29,23.97
Nigeria,2014,1942,4.73,193495907,23.29,23.97
Nigeria,2015,2228,3.78,152382506,23.89,24.23
Nigeria,2015,1884,3.76,156595758,23.89,24.23
Nigeria,2015,2280,3.76,160952853,23.89,24.23
Nigeria,2015,2505,3.77,165463745,23.89,24.23
Nigeria,2015,2728,3.75,170075932,23.89,24.23
Nigeria,2015,2977,3.7,174726123,23.89,24.23
Nigeria,2015,3201,3.94,179379016,23.89,24.23
Nigeria,2015,2680,4.22,183995785,23.89,24.23
Nigeria,2015,2145,4.51,188666931,23.89,24.23
Nigeria,2015,1942,4.73,193495907,23.89,24.23
Nigeria,2016,2228,3.78,152382506,24.82,24.31
Nigeria,2016,1884,3.76,156595758,24.82,24.31
Nigeria,2016,2280,3.76,160952853,24.82,24.31
Nigeria,2016,2505,3.77,165463745,24.82,24.31
Nigeria,2016,2728,3.75,170075932,24.82,24.31
Nigeria,2016,2977,3.7,174726123,24.82,24.31
